t: 1.00000000000000, w: 0, y: 0
t: 1.10000000000000, w: 0.271828182845905, y: 0.345919876539739
t: 1.20000000000000, w: 0.684755577715406, y: 0.866642535759603
t: 1.30000000000000, w: 1.27697834420870, y: 1.60721507818074
t: 1.40000000000000, w: 2.09354768783769, y: 2.62035955123583
t: 1.50000000000000, w: 3.18744512245892, y: 3.96766629422779
t: 1.60000000000000, w: 4.62081784627951, y: 5.72096152559634
t: 1.70000000000000, w: 6.46639637770960, y: 7.96387347784497
t: 1.80000000000000, w: 8.80911968894341, y: 10.7936246604906
t: 1.90000000000000, w: 11.7479965439625, y: 14.3230815358910
t: 2.00000000000000, w: 15.3982356527792, y: 18.6830970818864
